QB,RB,RB,WR,WR,WR,TE,FLEX,DST
23485913,23486014,23486044,23486378,23486398,23486462,23486996,23486500,23487368
23485913,23486004,23486044,23486378,23486382,23486398,23487036,23486500,23487369
23485913,23486002,23486044,23486378,23486382,23486398,23487012,23486954,23487369
23485913,23486014,23486044,23486378,23486382,23486398,23487012,23486500,23487364
23485913,23486044,23486066,23486378,23486382,23486398,23486998,23486500,23487368
23485913,23486004,23486044,23486374,23486378,23486398,23487036,23486954,23487368
23485913,23486002,23486044,23486378,23486398,23486500,23486998,23486954,23487364
23485913,23486002,23486044,23486378,23486382,23486398,23487130,23486462,23487368
23485911,23486004,23486028,23486398,23486418,23486432,23486998,23486954,23487364
23485913,23486004,23486044,23486378,23486382,23486398,23487012,23486814,23487368
23485913,23486004,23486104,23486378,23486398,23486482,23486998,23486500,23487368
23485913,23486002,23486004,23486378,23486398,23486482,23487036,23486954,23487360
23485938,23486004,23486044,23486374,23486378,23486500,23486998,23486814,23487364
23485913,23486004,23486018,23486378,23486398,23486954,23486998,23486814,23487360
23485913,23486004,23486104,23486378,23486398,23486418,23486998,23486954,23487369
23485938,23486002,23486004,23486378,23486432,23486500,23486998,23486814,23487369
23485938,23486004,23486044,23486378,23486418,23486432,23486998,23486500,23487360
23485937,23486004,23486028,23486378,23486398,23486432,23486998,23486954,23487360
23485913,23486028,23486044,23486378,23486398,23486418,23486998,23486500,23487360
23485911,23486004,23486044,23486378,23486398,23486500,23486998,23486954,23487368
23485913,23486004,23486044,23486378,23486398,23486418,23487036,23486432,23487364
23485911,23486004,23486104,23486378,23486418,23486432,23486998,23486954,23487360
23485913,23486004,23486044,23486378,23486398,23486482,23486998,23486554,23487369
23485929,23486004,23486044,23486378,23486398,23486418,23486998,23486954,23487364
23485913,23486004,23486028,23486378,23486418,23486482,23486998,23486954,23487360
23485938,23486002,23486004,23486398,23486418,23486500,23486998,23486814,23487360
23485911,23486004,23486028,23486378,23486388,23486954,23486998,23486814,23487360
23485913,23486018,23486044,23486378,23486398,23486432,23486998,23486482,23487368
23485913,23486014,23486044,23486378,23486398,23486432,23486998,23486500,23487369
23485913,23486004,23486044,23486378,23486398,23486500,23486998,23486548,23487366
23485913,23486044,23486104,23486378,23486382,23486398,23486998,23486482,23487364
23485913,23486014,23486044,23486378,23486396,23486398,23487012,23486434,23487368
23485913,23486002,23486044,23486378,23486398,23486434,23487012,23486500,23487359
23485913,23486002,23486044,23486378,23486398,23486482,23486996,23486954,23487368
23485913,23486006,23486044,23486378,23486396,23486398,23487012,23486500,23487369
23485913,23486002,23486014,23486378,23486398,23486482,23487012,23486500,23487369
23485913,23486004,23486066,23486378,23486396,23486398,23487012,23486500,23487368
23485913,23486004,23486018,23486378,23486398,23486434,23487036,23486500,23487360
23485913,23486004,23486044,23486378,23486398,23486476,23486998,23486814,23487364
23485911,23486004,23486028,23486418,23486432,23486554,23486998,23486044,23487362
23485911,23486004,23486028,23486378,23486418,23486548,23486998,23486554,23487360
23485911,23486004,23486028,23486398,23486418,23486814,23486998,23486104,23487360
23485906,23486004,23486018,23486418,23486554,23486954,23486998,23486028,23487360
23485911,23486004,23486028,23486418,23486424,23486954,23486998,23486044,23487360
23485911,23486004,23486018,23486398,23486418,23486482,23486998,23486954,23487360
23485929,23486004,23486028,23486398,23486418,23486432,23486998,23486482,23487360
23485911,23486004,23486028,23486374,23486418,23486554,23486998,23486954,23487365
23485911,23486004,23486028,23486378,23486398,23486554,23486998,23486954,23487362
23485938,23486004,23486028,23486374,23486418,23486432,23486998,23486814,23487362
23485911,23486004,23486028,23486394,23486430,23486432,23486998,23486954,23487360
